word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
ателье	"""Ателье -- налево""."	(Написано в машине в ожидании Л. из <b><i>ателье</i></b> мод.)	EARLIER	3.4	3	4	4	3	3
ателье	"""Карат"" привез в Россию ""Куллинан"" Бельгийская компания Carat Duchatelet, престижное тюнинговое <b><i>ателье,</i></b> представила в Москве, в салоне Larin's Trading, Mercedes S-Klasse W 220 в исполнении ""Куллинан"" -- так назывался один из крупнейших добытых в мире алмазов."	Хотя Петр Петрович запретил Ираиде привозить вещи, одевал Олю сам, все шили в закрытом <b><i>ателье,</i></b> ему хотелось показать: он сам может одеть дочь не хуже.	LATER	2.0	3	2	1	2	2
ателье	"""С жиру бесились, что ли Им бы помотаться по магазинам, по <b><i>ателье,</i></b> постоять бы в ГУМе в очереди за сапогами."	Они и над универмагом так измывались, и над женским <b><i>ателье,</i></b> и над химчисткой, и столовую до того довели, что там на столики розы поставили и семгу вместо селедки подают!	EARLIER	4.0	4	4	4	4	4
ателье	-- Посмотришь на нее, когда выходит из <b><i>ателье:</i></b> фу-ты ну-ты!	Для Easy Tiger это два партнерских <b><i>ателье,</i></b> которые берут на себя часть заказов.	LATER	3.8	3	4	4	4	4
ателье	...Я еду в трамвае из <b><i>ателье</i></b> индивидуального пошива.	Вокруг Зиновая Ивановича скоро организовался кружок художников; они выпросили у совета командиров маленькую комнатку в мезонине и устроили <b><i>ателье.</i></b>	COMPARE	3.8	4	4	4	4	3
ателье	<b><i>АТЕЛЬЕ</i></b> МОД, дом слета.	В журчащий зимний вечер в <b><i>ателье</i></b> Буцая идет самая горячая работа, и стены мезонина дрожат от смеха художников и гостей-меценатов.	EARLIER	3.4	3	4	2	4	4
ателье	"<b><i>Ателье</i></b> имело привычное социалистическое название ""Силуэт""."	Их <b><i>ателье</i></b> живописны и напоминают монмартрские <b><i>ателье,</i></b> может быть.	COMPARE	2.2	1	2	4	2	2
ателье	Белла решила сшить себе платье из парижского рулона в <b><i>ателье</i></b> котельнического дома.	Объявления <b><i>Ателье</i></b> художественного костюма принимает заказы на пошивку мужского и дамского платья (из материала заказчиков) от государственных музыкальных и зрелищных коллективов и от работников искусств.	COMPARE	4.0	4	4	4	4	4
ателье	"В 1869 году выпускник петербургской Академии художеств Андрей Осипович Карелин (1837-1906) открыл в Нижнем Новгороде <b><i>ателье</i></b> ""Фотография и живопись""."	Еще до опубликования открытия он дал секретные инструкции австрийскому послу в Париже -- как можно раньше п подробнее выведать сущность открытия, а затем командировал к Дагерру профессора физики Венского университета фон-Этингсгаузена, который достал для Метерниха два дагерротипа, подробно отписанные в венских газетах того времени: Второй снимок показывает <b><i>ателье</i></b> г-на Дагерра.	COMPARE	4.0	4	4	4	4	4
ателье	В другой раз подрабатывал прямо на соседней улице -- сварил козырек для <b><i>ателье.</i></b>	Это должно обеспечить, во-первых, быстрое и добросовестное выполнение заказов: диспетчер знает, какой цех загружен, а какой нет и где эту работу сделают лучше; во-вторых, удобнее населению: раньше ездили в город -- в <b><i>ателье,</i></b> в обувную мастерскую, -- теряли время.	COMPARE	4.0	4	4	4	4	4
ателье	В настоящее время начались съемки в <b><i>ателье.</i></b>	<b><i>АТЕЛЬЕ</i></b> ОТКРЫТО с 10 ч. утра до 6 ч. вечера (кроме общевыходных дней). неизвестный.	EARLIER	2.8	1	3	2	4	4
